,path,min_r,min_c,max_r,max_c,r_len,c_len,category,box_area,c_by_r,r_by_c
54,/images/8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,52,279,200,409,148,130,trophozoite,19240,0.8783783783783784,1.1384615384615384
61,/images/8d02117d-6c71-4e47-b50a-6cc8d5eb1d55.png,441,1037,578,1155,137,118,trophozoite,16166,0.8613138686131386,1.1610169491525424
152,/images/6b14c855-8561-417c-97a4-63fa552842fd.png,76,482,219,626,143,144,schizont,20592,1.006993006993007,0.9930555555555556
156,/images/13099edb-35d9-438f-b093-2cf2ebf9d255.png,208,324,337,446,129,122,ring,15738,0.9457364341085271,1.0573770491803278
235,/images/2559636b-f01a-4414-93da-210c3b12d153.png,130,866,292,1014,162,148,schizont,23976,0.9135802469135802,1.0945945945945945
264,/images/0dcca702-a4ef-4fb3-a940-9c0c140b21c7.png,194,237,317,356,123,119,trophozoite,14637,0.967479674796748,1.0336134453781514
266,/images/0dcca702-a4ef-4fb3-a940-9c0c140b21c7.png,578,53,713,178,135,125,trophozoite,16875,0.9259259259259259,1.08
306,/images/0dcca702-a4ef-4fb3-a940-9c0c140b21c7.png,791,409,946,560,155,151,trophozoite,23405,0.9741935483870968,1.0264900662251655
307,/images/0dcca702-a4ef-4fb3-a940-9c0c140b21c7.png,676,1330,826,1461,150,131,trophozoite,19650,0.8733333333333333,1.1450381679389312
308,/images/0dcca702-a4ef-4fb3-a940-9c0c140b21c7.png,546,783,661,885,115,102,trophozoite,11730,0.8869565217391304,1.1274509803921569
344,/images/7c66d2fd-68ee-4628-b860-9d7ad25b2a80.png,228,1380,366,1498,138,118,ring,16284,0.855072463768116,1.1694915254237288
352,/images/7c66d2fd-68ee-4628-b860-9d7ad25b2a80.png,741,266,862,383,121,117,ring,14157,0.9669421487603306,1.0341880341880343
461,/images/c6d97845-8ad2-4ab7-b385-66613628df5b.png,309,441,459,564,150,123,gametocyte,18450,0.82,1.2195121951219512
470,/images/bbf687b5-c6f9-4821-b2e5-a25df1acba47.png,564,421,702,556,138,135,gametocyte,18630,0.9782608695652174,1.0222222222222221
606,/images/065af549-320a-4862-b92a-8ef750d7b5fb.png,390,258,538,424,148,166,trophozoite,24568,1.1216216216216217,0.891566265060241
656,/images/e61e6af2-7f8b-47b0-bbe7-acb2ed0299ab.png,948,1479,1047,1565,99,86,leukocyte,8514,0.8686868686868687,1.1511627906976745
665,/images/e61e6af2-7f8b-47b0-bbe7-acb2ed0299ab.png,588,45,712,199,124,154,trophozoite,19096,1.2419354838709677,0.8051948051948052
666,/images/e61e6af2-7f8b-47b0-bbe7-acb2ed0299ab.png,637,143,762,293,125,150,trophozoite,18750,1.2,0.8333333333333334
667,/images/e61e6af2-7f8b-47b0-bbe7-acb2ed0299ab.png,370,717,490,839,120,122,trophozoite,14640,1.0166666666666666,0.9836065573770492
728,/images/dcc1a193-7b74-44f8-ad8d-813751d8fa6b.png,656,1108,774,1224,118,116,trophozoite,13688,0.9830508474576272,1.0172413793103448
778,/images/27fab82c-5bf0-426f-aeb9-47da829b6629.png,879,324,1002,454,123,130,ring,15990,1.056910569105691,0.9461538461538461
788,/images/27fab82c-5bf0-426f-aeb9-47da829b6629.png,922,712,1055,832,133,120,gametocyte,15960,0.9022556390977443,1.1083333333333334
895,/images/dce55b59-c6c3-4693-aa75-6b348c8f52cd.png,354,818,473,948,119,130,ring,15470,1.0924369747899159,0.9153846153846154
